project_id,sov_line_id,total_labor_cost,total_hours_st,total_hours_ot,log_count,unique_employees,date_min,date_max,total_hours
PRJ-2018-001,PRJ-2018-001-SOV-01,252021.73,2758,156,348,340,2018-01-08,2019-06-19,2914
PRJ-2018-001,PRJ-2018-001-SOV-02,106076.11,1110,80,142,141,2018-01-08,2019-05-27,1190
PRJ-2018-001,PRJ-2018-001-SOV-03,147383.79,1524,122,193,192,2018-02-19,2019-06-06,1646
PRJ-2018-001,PRJ-2018-001-SOV-04,126061.52,1430,78,181,181,2018-02-16,2019-05-14,1508
PRJ-2018-001,PRJ-2018-001-SOV-05,134845.32,1514,60,191,191,2018-02-16,2019-06-13,1574
PRJ-2018-001,PRJ-2018-001-SOV-06,60271.61,614,50,79,79,2018-05-08,2018-09-04,664
PRJ-2018-001,PRJ-2018-001-SOV-07,59865.43,682,58,86,86,2018-05-08,2018-09-04,740
PRJ-2018-001,PRJ-2018-001-SOV-08,61189.39,664,52,84,82,2018-05-08,2019-05-27,716
PRJ-2018-001,PRJ-2018-001-SOV-09,138372.7,1496,110,189,183,2018-05-08,2019-05-29,1606
PRJ-2018-001,PRJ-2018-001-SOV-10,76778.94,796,54,101,101,2018-09-05,2019-05-05,850
PRJ-2018-001,PRJ-2018-001-SOV-11,97348.1,1110,46,140,140,2018-09-05,2019-05-24,1156
PRJ-2018-001,PRJ-2018-001-SOV-12,81481.04,872,66,112,112,2018-09-05,2019-05-27,938
PRJ-2018-001,PRJ-2018-001-SOV-13,26768.52,296,16,37,37,2018-12-17,2019-02-08,312
PRJ-2018-001,PRJ-2018-001-SOV-14,29579.87,340,14,44,44,2018-12-18,2019-02-11,354
PRJ-2018-001,PRJ-2018-001-SOV-15,29958.36,326,28,41,41,2018-12-20,2019-02-11,354
PRJ-2018-002,PRJ-2018-002-SOV-01,487383.13,5342,300,674,649,2018-01-12,2019-09-01,5642
PRJ-2018-002,PRJ-2018-002-SOV-02,157451.93,1822,76,231,229,2018-01-12,2019-08-12,1898
PRJ-2018-002,PRJ-2018-002-SOV-03,250685.67,2716,168,346,341,2018-03-12,2019-08-27,2884
PRJ-2018-002,PRJ-2018-002-SOV-04,250408.46,2786,156,352,349,2018-03-12,2019-09-02,2942
PRJ-2018-002,PRJ-2018-002-SOV-05,258128.03,2818,190,355,352,2018-03-09,2019-08-02,3008
PRJ-2018-002,PRJ-2018-002-SOV-06,141908.67,1552,84,195,195,2018-06-29,2019-08-16,1636
PRJ-2018-002,PRJ-2018-002-SOV-07,140099.59,1588,74,203,201,2018-06-28,2019-08-30,1662
PRJ-2018-002,PRJ-2018-002-SOV-08,139252.61000000002,1496,106,190,188,2018-06-28,2019-08-22,1602
PRJ-2018-002,PRJ-2018-002-SOV-09,263598.92,2952,158,375,368,2018-06-28,2019-08-14,3110
PRJ-2018-002,PRJ-2018-002-SOV-10,143884.13,1636,62,208,206,2018-12-12,2019-08-12,1698
PRJ-2018-002,PRJ-2018-002-SOV-11,181669.48,2000,126,255,252,2018-12-12,2019-08-27,2126
PRJ-2018-002,PRJ-2018-002-SOV-12,140877.72,1480,104,188,188,2018-12-12,2019-09-03,1584
PRJ-2018-002,PRJ-2018-002-SOV-13,43359.9,512,22,65,65,2019-04-30,2019-09-02,534
PRJ-2018-002,PRJ-2018-002-SOV-14,34676.270000000004,394,22,51,50,2019-04-30,2019-08-24,416
PRJ-2018-002,PRJ-2018-002-SOV-15,45692.090000000004,460,40,58,58,2019-05-01,2019-07-19,500
