project_id,project_name,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,gc_name,architect,engineer_of_record,total_estimated_budget,budget_coverage
PRJ-2018-001,Minneapolis Hospital - Mechanical Systems Renovation,38264000,2018-01-06,2019-04-20,0.1,Net 30,JE Dunn,HOK,ARUP,43307594.728,1.132
PRJ-2018-002,Louisville Office Park - Core & Shell MEP,29163000,2018-01-12,2019-07-06,0.1,Net 30,JE Dunn,HKS,WSP,31372764.008,1.076
PRJ-2018-003,Las Vegas Elementary Campus - Climate Systems,11837000,2018-01-12,2019-06-24,0.1,Net 30,Turner Construction,SmithGroup,ARUP,13416964.224,1.133
PRJ-2018-004,Houston Data Center - Precision Cooling Systems,11221000,2018-03-02,2019-07-07,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,12164288.674,1.084
PRJ-2018-005,Phoenix Senior Living - HVAC Upgrade,7700000,2018-01-03,2018-12-18,0.1,Net 30,Skanska USA,Perkins&Will,Syska Hennessy,7855785.337,1.02
PRJ-2018-006,Kansas City Hospital - Mechanical Systems Renovation,10039000,2018-02-17,2019-08-18,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,10510976.35,1.047
PRJ-2018-007,Portland Corporate Campus - HVAC Systems,18587000,2018-03-31,2019-01-05,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,20316778.422,1.093
PRJ-2018-008,Louisville High School - New Construction,6212000,2018-02-21,2019-12-04,0.1,Net 30,Skanska USA,HKS,AEI,6789274.399,1.093
PRJ-2018-009,Houston Edge Data Center - Thermal Management,14845000,2018-03-18,2019-02-23,0.1,Net 30,Mortenson,SmithGroup,AEI,15358038.382000001,1.035
PRJ-2018-010,San Antonio Mixed-Income Housing - Climate Control,12617000,2018-02-04,2018-09-28,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,12764250.104,1.012
PRJ-2018-011,Albuquerque Hospital - Mechanical Systems Renovation,45289000,2018-02-02,2019-02-13,0.1,Net 30,Mortenson,Perkins&Will,ARUP,47725895.269,1.054
PRJ-2018-012,Pittsburgh Business Center - MEP Systems,9048000,2018-02-16,2019-07-23,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,9451767.664,1.045
PRJ-2018-013,Indianapolis Unified School District - HVAC Modernization,4495000,2018-01-07,2019-09-10,0.1,Net 30,DPR Construction,HOK,AEI,4811623.769,1.07
PRJ-2018-014,Indianapolis Cloud Campus Phase 1 - Cooling,11702000,2018-01-20,2019-03-14,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,13345799.887,1.14
PRJ-2018-015,Minneapolis Mixed-Income Housing - Climate Control,22510000,2018-02-17,2019-09-14,0.1,Net 30,Skanska USA,HKS,Syska Hennessy,25979322.266,1.154
PRJ-2018-016,Houston Surgery Center - Climate Control,20272000,2018-02-27,2019-09-01,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,21695069.823,1.07
PRJ-2018-017,San Antonio Business Center - MEP Systems,19383000,2018-03-01,2018-12-31,0.1,Net 30,DPR Construction,SmithGroup,ARUP,21366066.865000002,1.102
PRJ-2018-018,Las Vegas Unified School District - HVAC Modernization,9820000,2018-02-17,2019-11-04,0.1,Net 30,Turner Construction,SmithGroup,Henderson Engineers,11093917.286,1.13
PRJ-2018-019,Oklahoma City Edge Data Center - Thermal Management,19967000,2018-04-01,2020-07-12,0.1,Net 30,Mortenson,HOK,Henderson Engineers,20948653.01,1.049
PRJ-2018-020,Chicago Mixed-Income Housing - Climate Control,8195000,2018-01-28,2019-10-01,0.1,Net 30,Mortenson,SmithGroup,WSP,8834889.353,1.078
PRJ-2018-021,San Antonio Surgery Center - Climate Control,53167000,2018-02-28,2020-01-31,0.1,Net 30,JE Dunn,HKS,ARUP,56184995.354,1.057
PRJ-2018-022,Tampa Office Park - Core & Shell MEP,33663000,2018-03-11,2019-04-26,0.1,Net 30,Turner Construction,Gensler,WSP,34952118.431,1.038
PRJ-2018-023,Richmond High School - New Construction,8862000,2018-01-27,2019-09-19,0.1,Net 30,DPR Construction,Gensler,Syska Hennessy,9660398.702,1.09
PRJ-2018-024,Raleigh Edge Data Center - Thermal Management,20604000,2018-03-04,2019-05-09,0.1,Net 30,JE Dunn,HOK,Henderson Engineers,23267407.018,1.129
PRJ-2018-025,Portland Senior Living - HVAC Upgrade,19887000,2018-01-03,2020-06-01,0.1,Net 30,Skanska USA,Perkins&Will,ARUP,22294450.551,1.121
PRJ-2018-026,Las Vegas Surgery Center - Climate Control,5488000,2018-02-24,2019-10-10,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,5452932.447,0.994
PRJ-2018-027,Albuquerque Mixed-Use Tower - Mechanical,14573000,2018-03-04,2020-02-09,0.1,Net 30,Turner Construction,HOK,AEI,14202784.512,0.975
PRJ-2018-028,Louisville Elementary Campus - Climate Systems,10351000,2018-01-08,2019-04-15,0.1,Net 30,Skanska USA,HKS,WSP,10507502.950000001,1.015
PRJ-2018-029,Kansas City Colocation Facility - HVAC,9526000,2018-02-12,2019-08-10,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,9961732.301,1.046
PRJ-2018-030,Portland Mixed-Income Housing - Climate Control,15609000,2018-02-16,2019-04-26,0.1,Net 30,Skanska USA,HKS,ARUP,17920909.605,1.148
PRJ-2018-031,Kansas City Surgery Center - Climate Control,40498000,2018-01-27,2019-10-18,0.1,Net 30,Skanska USA,HOK,AEI,43263625.429,1.068
PRJ-2018-032,Sacramento Office Park - Core & Shell MEP,23117000,2018-02-17,2019-03-28,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,25229032.603,1.091
PRJ-2018-033,Pittsburgh Middle School - HVAC Systems,12190000,2018-02-20,2019-05-08,0.1,Net 30,Skanska USA,HOK,Syska Hennessy,12955930.692,1.063
PRJ-2018-034,Boston Colocation Facility - HVAC,18213000,2018-03-26,2020-04-11,0.1,Net 30,DPR Construction,Perkins&Will,Henderson Engineers,18023502.098,0.99
PRJ-2018-035,Indianapolis Apartment Complex - MEP,11962000,2018-03-30,2019-03-03,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,12949693.808,1.083
PRJ-2018-036,Pittsburgh Medical Campus - New HVAC Installation,30618000,2018-02-20,2019-05-23,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,31806272.205000002,1.039
PRJ-2018-037,Albuquerque Business Center - MEP Systems,33532000,2018-02-28,2020-05-11,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,38212209.409,1.14
PRJ-2018-038,Columbus Unified School District - HVAC Modernization,10084000,2018-03-16,2018-12-04,0.1,Net 30,JE Dunn,SmithGroup,ARUP,11411189.199000001,1.132
PRJ-2018-039,Albuquerque Data Center - Precision Cooling Systems,5379000,2018-02-16,2019-07-21,0.1,Net 30,Skanska USA,Gensler,ARUP,5705254.309,1.061
PRJ-2018-040,Sacramento Mixed-Income Housing - Climate Control,20326000,2018-03-14,2019-08-02,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,19787559.485,0.974
PRJ-2018-041,San Antonio Regional Medical Center - HVAC Upgrade,40791000,2018-01-16,2019-02-23,0.1,Net 30,Skanska USA,HOK,AEI,42929885.793,1.052
PRJ-2018-042,Columbus Office Park - Core & Shell MEP,15625000,2018-01-27,2019-04-04,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,16934478.516,1.084
PRJ-2018-043,Salt Lake City High School - New Construction,7392000,2018-03-06,2019-07-31,0.1,Net 30,Skanska USA,Perkins&Will,Henderson Engineers,8052477.77,1.089
PRJ-2018-044,Oklahoma City Cloud Campus Phase 1 - Cooling,7204000,2018-01-09,2019-05-21,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,7693286.429,1.068
PRJ-2018-045,Cincinnati Apartment Complex - MEP,4201000,2018-02-28,2019-09-21,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,4644143.001,1.105
PRJ-2018-046,Albuquerque Medical Campus - New HVAC Installation,6747000,2018-01-06,2019-01-25,0.1,Net 30,Skanska USA,HOK,WSP,6663178.329,0.988
PRJ-2018-047,Oklahoma City Office Park - Core & Shell MEP,12546000,2018-02-26,2019-03-26,0.1,Net 30,DPR Construction,HKS,WSP,13875664.129999999,1.106
PRJ-2018-048,Boston Unified School District - HVAC Modernization,6077000,2018-01-24,2019-11-19,0.1,Net 30,DPR Construction,SmithGroup,AEI,6081003.999,1.001
PRJ-2018-049,San Antonio Data Center - Precision Cooling Systems,4707000,2018-01-22,2019-06-26,0.1,Net 30,Skanska USA,SmithGroup,AEI,5018747.798,1.066
PRJ-2018-050,Boston Senior Living - HVAC Upgrade,3613000,2018-02-18,2019-07-31,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,3812253.999,1.055
