project_id,sov_line_id,material_total_cost
PRJ-2018-001,PRJ-2018-001-SOV-03,1499679.91
PRJ-2018-001,PRJ-2018-001-SOV-04,1372076.94
PRJ-2018-001,PRJ-2018-001-SOV-05,1500498.47
PRJ-2018-001,PRJ-2018-001-SOV-06,883476.56
PRJ-2018-001,PRJ-2018-001-SOV-07,3545653.3
PRJ-2018-001,PRJ-2018-001-SOV-08,2310084.69
PRJ-2018-001,PRJ-2018-001-SOV-09,2832335.08
PRJ-2018-001,PRJ-2018-001-SOV-10,1091472.3
PRJ-2018-001,PRJ-2018-001-SOV-11,627935.25
PRJ-2018-001,PRJ-2018-001-SOV-12,578771.5700000001
PRJ-2018-001,PRJ-2018-001-SOV-22,398850.85
PRJ-2018-001,PRJ-2018-001-SOV-25,245025.93
PRJ-2018-002,PRJ-2018-002-SOV-03,1358127.3599999999
PRJ-2018-002,PRJ-2018-002-SOV-04,1044064.72
PRJ-2018-002,PRJ-2018-002-SOV-05,1063964.8199999998
PRJ-2018-002,PRJ-2018-002-SOV-06,667687.46
PRJ-2018-002,PRJ-2018-002-SOV-07,3173189.68
PRJ-2018-002,PRJ-2018-002-SOV-08,2033194.3199999998
PRJ-2018-002,PRJ-2018-002-SOV-09,1760496.6
PRJ-2018-002,PRJ-2018-002-SOV-10,693650.37
PRJ-2018-002,PRJ-2018-002-SOV-11,392175.8
PRJ-2018-002,PRJ-2018-002-SOV-12,397355.75
PRJ-2018-003,PRJ-2018-003-SOV-03,360083.05000000005
PRJ-2018-003,PRJ-2018-003-SOV-04,351966.7
PRJ-2018-003,PRJ-2018-003-SOV-05,382379.63
PRJ-2018-003,PRJ-2018-003-SOV-06,238327.93
PRJ-2018-003,PRJ-2018-003-SOV-07,1165279.06
PRJ-2018-003,PRJ-2018-003-SOV-08,1132370.81
PRJ-2018-003,PRJ-2018-003-SOV-09,749083.77
PRJ-2018-003,PRJ-2018-003-SOV-10,302059.33999999997
PRJ-2018-003,PRJ-2018-003-SOV-11,96475.87
PRJ-2018-003,PRJ-2018-003-SOV-12,197412.72999999998
PRJ-2018-003,PRJ-2018-003-SOV-25,153040.47
PRJ-2018-004,PRJ-2018-004-SOV-03,296718.04
PRJ-2018-004,PRJ-2018-004-SOV-04,290488.6
PRJ-2018-004,PRJ-2018-004-SOV-05,320116.03
PRJ-2018-004,PRJ-2018-004-SOV-06,133448.2
PRJ-2018-004,PRJ-2018-004-SOV-07,1328193.93
PRJ-2018-004,PRJ-2018-004-SOV-08,960462.3500000001
PRJ-2018-004,PRJ-2018-004-SOV-09,507388.82
