project_id,sov_line_id,material_total_cost,estimated_material_cost,material_overrun_ratio
PRJ-2018-001,PRJ-2018-001-SOV-01,0.0,1084400,0.0
PRJ-2018-001,PRJ-2018-001-SOV-02,0.0,366500,0.0
PRJ-2018-001,PRJ-2018-001-SOV-03,1499679.91,1530400,0.98
PRJ-2018-001,PRJ-2018-001-SOV-04,1372076.94,1400200,0.98
PRJ-2018-001,PRJ-2018-001-SOV-05,1500498.47,1531200,0.98
PRJ-2018-001,PRJ-2018-001-SOV-06,883476.56,901500,0.98
PRJ-2018-001,PRJ-2018-001-SOV-07,3545653.3,0,2.0
PRJ-2018-001,PRJ-2018-001-SOV-08,2310084.69,0,2.0
PRJ-2018-001,PRJ-2018-001-SOV-09,2832335.08,0,2.0
PRJ-2018-001,PRJ-2018-001-SOV-10,1091472.3,1113800,0.98
PRJ-2018-001,PRJ-2018-001-SOV-11,627935.25,640800,0.98
PRJ-2018-001,PRJ-2018-001-SOV-12,578771.5700000001,0,2.0
PRJ-2018-001,PRJ-2018-001-SOV-13,0.0,0,0.0
PRJ-2018-001,PRJ-2018-001-SOV-14,0.0,224700,0.0
PRJ-2018-001,PRJ-2018-001-SOV-15,0.0,298200,0.0
PRJ-2018-002,PRJ-2018-002-SOV-01,0.0,482300,0.0
PRJ-2018-002,PRJ-2018-002-SOV-02,0.0,241100,0.0
PRJ-2018-002,PRJ-2018-002-SOV-03,1358127.3599999999,1308400,1.038
PRJ-2018-002,PRJ-2018-002-SOV-04,1044064.72,1005800,1.038
PRJ-2018-002,PRJ-2018-002-SOV-05,1063964.8199999998,1025000,1.038
PRJ-2018-002,PRJ-2018-002-SOV-06,667687.46,643200,1.038
PRJ-2018-002,PRJ-2018-002-SOV-07,3173189.68,0,2.0
PRJ-2018-002,PRJ-2018-002-SOV-08,2033194.3199999998,0,2.0
PRJ-2018-002,PRJ-2018-002-SOV-09,1760496.6,0,2.0
PRJ-2018-002,PRJ-2018-002-SOV-10,693650.37,668200,1.038
PRJ-2018-002,PRJ-2018-002-SOV-11,392175.8,377800,1.038
PRJ-2018-002,PRJ-2018-002-SOV-12,397355.75,0,2.0
PRJ-2018-002,PRJ-2018-002-SOV-13,0.0,0,0.0
PRJ-2018-002,PRJ-2018-002-SOV-14,0.0,224200,0.0
PRJ-2018-002,PRJ-2018-002-SOV-15,0.0,166800,0.0
PRJ-2018-003,PRJ-2018-003-SOV-01,0.0,246200,0.0
PRJ-2018-003,PRJ-2018-003-SOV-02,0.0,76300,0.0
PRJ-2018-003,PRJ-2018-003-SOV-03,360083.05000000005,374300,0.962
PRJ-2018-003,PRJ-2018-003-SOV-04,351966.7,365900,0.962
PRJ-2018-003,PRJ-2018-003-SOV-05,382379.63,397500,0.962
PRJ-2018-003,PRJ-2018-003-SOV-06,238327.93,247700,0.962
PRJ-2018-003,PRJ-2018-003-SOV-07,1165279.06,0,2.0
PRJ-2018-003,PRJ-2018-003-SOV-08,1132370.81,0,2.0
PRJ-2018-003,PRJ-2018-003-SOV-09,749083.77,0,2.0
PRJ-2018-003,PRJ-2018-003-SOV-10,302059.33999999997,314000,0.962
PRJ-2018-003,PRJ-2018-003-SOV-11,96475.87,100300,0.962
PRJ-2018-003,PRJ-2018-003-SOV-12,197412.72999999998,0,2.0
PRJ-2018-003,PRJ-2018-003-SOV-13,0.0,0,0.0
PRJ-2018-003,PRJ-2018-003-SOV-14,0.0,134100,0.0
PRJ-2018-003,PRJ-2018-003-SOV-15,0.0,89300,0.0
PRJ-2018-004,PRJ-2018-004-SOV-01,0.0,337400,0.0
PRJ-2018-004,PRJ-2018-004-SOV-02,0.0,85900,0.0
PRJ-2018-004,PRJ-2018-004-SOV-03,296718.04,294100,1.009
PRJ-2018-004,PRJ-2018-004-SOV-04,290488.6,287900,1.009
PRJ-2018-004,PRJ-2018-004-SOV-05,320116.03,317300,1.009
PRJ-2018-004,PRJ-2018-004-SOV-06,133448.2,132200,1.009
PRJ-2018-004,PRJ-2018-004-SOV-07,1328193.93,0,2.0
PRJ-2018-004,PRJ-2018-004-SOV-08,960462.3500000001,0,2.0
PRJ-2018-004,PRJ-2018-004-SOV-09,507388.82,0,2.0
PRJ-2018-004,PRJ-2018-004-SOV-10,354301.05,351200,1.009
PRJ-2018-004,PRJ-2018-004-SOV-11,168459.93,167000,1.009
PRJ-2018-004,PRJ-2018-004-SOV-12,161431.94,0,2.0
PRJ-2018-004,PRJ-2018-004-SOV-13,0.0,0,0.0
PRJ-2018-004,PRJ-2018-004-SOV-14,0.0,65000,0.0
PRJ-2018-004,PRJ-2018-004-SOV-15,0.0,41200,0.0
PRJ-2018-005,PRJ-2018-005-SOV-01,0.0,241900,0.0
PRJ-2018-005,PRJ-2018-005-SOV-02,0.0,62200,0.0
