project_id,total_budget,total_billed,avg_billing_gap,total_co_amount,total_delay_days,margin
PRJ-2018-001,38264000,38022400,-0.011648558306248447,10960800.0,67.0,-0.006314028852184821
PRJ-2018-002,29163000,28945000,0.005713698592722001,4914000.0,64.0,-0.007475225456914584
PRJ-2018-003,11837000,11765500,-0.006207736392712112,1943400.0,68.0,-0.00604038185351018
PRJ-2018-004,11221000,11143200,0.013711216857001319,912700.0,9.0,-0.006933428393191337
PRJ-2018-005,7700000,7639600,0.01216650199416828,1957200.0,70.0,-0.007844155844155844
PRJ-2018-006,10039000,9972100,-0.002151218653401088,2416200.0,5.0,-0.006664010359597569
PRJ-2018-007,18587000,18435100,0.007508316625832853,3092800.0,10.0,-0.008172378544143757
PRJ-2018-008,6212000,6167600,0.0006630933440286905,2054100.0,26.0,-0.007147456535737283
PRJ-2018-009,14845000,14739200,0.0030448792421708505,1308900.0,10.0,-0.007126978780734254
PRJ-2018-010,12617000,12518600,0.0023243215237736575,990000.0,43.0,-0.007799001347388444
PRJ-2018-011,45289000,45002700,0.0007143386980999367,2242200.0,38.0,-0.006321623352248891
PRJ-2018-012,9048000,8981600,-0.009254855031613829,1037800.0,20.0,-0.007338638373121132
PRJ-2018-013,4495000,4468600,-0.00915490559247966,724300.0,43.0,-0.0058731924360400445
PRJ-2018-014,11702000,11611600,-0.001447724604794113,1845000.0,18.0,-0.007725175183729277
PRJ-2018-015,22510000,22370800,-0.002358982065627894,7190200.0,83.0,-0.006183918258551755
PRJ-2018-016,20272000,20143600,0.005741516698940548,7755100.0,53.0,-0.006333859510655091
PRJ-2018-017,19383000,19227900,-0.00046938939864370844,2760700.0,63.0,-0.008001857297631946
PRJ-2018-018,9820000,9759400,0.004984045623826697,914900.0,28.0,-0.006171079429735234
PRJ-2018-019,19967000,19843200,-0.0057700038070152004,3879900.0,57.0,-0.00620023038012721
PRJ-2018-020,8195000,8134400,-0.0004772389458319518,3055300.0,36.0,-0.007394752898108603
PRJ-2018-021,53167000,52849500,0.019349505124743396,8500300.0,68.0,-0.005971749393420731
PRJ-2018-022,33663000,33459400,-0.002052198299292248,7703900.0,32.0,-0.006048183465525948
PRJ-2018-023,8862000,8806000,0.0034538525849010663,1033000.0,25.0,-0.00631911532385466
PRJ-2018-024,20604000,20454900,-0.002115676781184561,4769400.0,53.0,-0.007236458940011648
PRJ-2018-025,19887000,19762000,0.004912598797390425,5230100.0,47.0,-0.0062855131492935085
PRJ-2018-026,5488000,5453500,-0.006662415600342797,1646600.0,129.0,-0.006286443148688046
PRJ-2018-027,14573000,14485200,-0.014223570207608798,3057700.0,73.0,-0.006024840458381939
PRJ-2018-028,10351000,10282500,-0.008795405220664066,1667600.0,52.0,-0.0066177180948700605
PRJ-2018-029,9526000,9464600,0.0031126187025478204,4852700.0,55.0,-0.006445517530967878
PRJ-2018-030,15609000,15491200,0.0026023834061836243,4108200.0,97.0,-0.007546928054327631
PRJ-2018-031,40498000,40227400,0.005408602802919897,3702400.0,11.0,-0.0066818114474788875
PRJ-2018-032,23117000,22937300,-0.007392555327767999,9849500.0,109.0,-0.007773500021629104
PRJ-2018-033,12190000,12106700,-0.0029634217534246924,941200.0,49.0,-0.006833470057424118
PRJ-2018-034,18213000,18102300,-0.0060267919083742075,2810800.0,74.0,-0.006078076099489376
PRJ-2018-035,11962000,11876100,-0.00973308224441496,2466900.0,41.0,-0.007181073399097141
PRJ-2018-036,30618000,30397700,-0.00629479274961966,5581200.0,14.0,-0.007195113985237442
PRJ-2018-037,33532000,33327600,-0.004486726397223606,10127400.0,100.0,-0.00609566980794465
