project_id,application_number,period_end,period_total,cumulative_billed,retention_held,net_payment_due,status,payment_date,line_item_count
PRJ-2024-001,2,2024-05-21,2944900,2944900,294490.0,2650410.0,Paid,2024-06-30,9
PRJ-2024-001,3,2024-06-20,3628300,6573200,657320.0,5915880.0,Paid,2024-07-30,12
PRJ-2024-001,4,2024-07-20,3206200,9779400,977940.0,8801460.0,Paid,2024-08-27,15
PRJ-2024-001,5,2024-08-19,2223700,12003100,1200310.0,10802790.0,Paid,2024-09-16,15
PRJ-2024-001,6,2024-09-18,2092000,14095100,1409510.0,12685590.0,Paid,2024-10-27,15
PRJ-2024-001,7,2024-10-18,2066800,16161900,1616190.0,14545710.0,Paid,,15
PRJ-2024-001,8,2024-11-17,2115200,18277100,1827710.0,16449390.0,Approved,2024-12-17,15
PRJ-2024-001,9,2024-12-17,2129400,20406500,2040650.0,18365850.0,Paid,2025-01-16,15
PRJ-2024-001,10,2025-01-16,2101100,22507600,2250760.0,20256840.0,Paid,,15
PRJ-2024-001,11,2025-02-15,2089800,24597400,2459740.0,22137660.0,Paid,2025-03-13,15
PRJ-2024-001,12,2025-03-17,2119700,26717100,2671710.0,24045390.0,Paid,2025-04-12,15
PRJ-2024-001,13,2025-04-16,1893200,28610300,2861030.0,25749270.0,Paid,,15
PRJ-2024-001,14,2025-05-16,1906800,30517100,3051710.0,27465390.0,Paid,2025-06-25,15
PRJ-2024-001,15,2025-06-15,1893400,32410500,3241050.0,29169450.0,Paid,2025-07-14,13
PRJ-2024-001,16,2025-07-15,1846900,34257400,3425740.0,30831660.0,Paid,2025-08-13,13
PRJ-2024-001,18,2025-09-13,119200,34376600,3437660.0,30938940.0,Pending,2025-10-18,12
PRJ-2024-001,19,2025-10-13,578800,34955400,3495540.0,31459860.0,Pending,2025-11-14,13
PRJ-2024-002,2,2024-03-29,1960700,1960700,196070.0,1764630.0,Pending,,9
PRJ-2024-002,3,2024-04-28,2086800,4047500,404750.0,3642750.0,Paid,2024-05-31,12
PRJ-2024-002,4,2024-05-28,2499700,6547200,654720.0,5892480.0,Paid,,12
PRJ-2024-002,5,2024-06-27,2079000,8626200,862620.0,7763580.0,Paid,2024-08-04,15
